"kalo aku sih pertabel -, mnyesuaikan kebutuhan :)",0
"BIG SALE !!! DISCOUND 40% Z10-4,4jt IPHONE 5 32GB-3,7jt S.NOTE 2-3,8jt CAMERA, LAPTOP dll PIN BB 28AB8391 Call/sms: 0897-9844-777 Kunjungi www.indracell.com",1
Tarot : Perlu super hati2 karena banyak hal yg tdk terduga tiba2 muncul. Kemungkinan besar urusannya dgn relationship dan cara berpikirmu. Utk berhenti ketik Un,2
"assalamualaikum pak, mohon maaf saya mau tanya pak, apakah remedial dwm harus hadir di tempat pak? apa bisa online? mohon maaf sebelumnya",0
Selamat !!! Anda mndptkan cek tunai Rp.27jt dr PT.Bank Rakyat Indonesia pin anda:ijh76k79 u/info klik www.bri-untungbeliung.blogspot.com atau hub:021-3677-1839,1
ku ada 300 ratus nih di tabungan~ di - aku tabungan ada berapa - ? cabut sekarang juga #ManaAda~ :(,0
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"Kami dari

KSP Sejahtera Bersama

Menawarkan

PINJAMAN ONLINE

Di Seluruh Indonesia

Mulai 5jt-500jt 

Proses cepat & Mudah

Chat Info:

WA:085333106669",1
Dukung rehabilitasi & pengembangan potensi anak berkebutuhan khusus di YPAC Jakarta. Mari berbagi melalui SMS Donasi dengan mengetik *123*65#,2
Pak saya pake yang 6.0 malah bingung pak,0
Slmt no anda resmi m/dpt hdiah Rp100jt DRI PT MKIOS pmenang ke2 pin anda[M2577] u/info;hub.pak.H RISAL DERMAWAN 0822-9399-7119 MKIOS,1
"Sertifikat vaksinasi ke-2 WILLIAM ANDY SENJAYA (NIK: 32xxx03) tersedia di https://asset.pedulilindungi.id/cert/2/7a45/b002/6045d04ddea6b4c394f21d70.png. PERHATIAN:hanya diakses yg bersangkutan! Bila ada keluhan pasca vaksin, hub dokter",2
"Tp aku gak tertarik gt sih diperusahaan itu, org it nya baru satu",0
Nikmati Discount 20% di Bakmi GM setiap hari hny dgn TCASH TAP! S&K berlaku. Info tsel.me/tappromo,2
"Pelanggan yth, Paket Nelpon akan berakhir pada tanggal 01/03/2022 jam 23:59 WIB.",2
#NAME?,0
pelanggan yth. SIMCARD Anda sbg pemenang Mendapatkan HADIAH Mobil Toyota ALL NEW YARIS PIN:8jf2177 dari GEBYAR UNDIAN 3 CARE Untuk Info lenkap klik: www.infoundian-3care.blogspot.com,1
